PO No,Forwarder Name,PO Created By,Vendor Code,Vendor Name,Vendor Country Name,Consignee Code,Incoterm Origin,PO Delivery Date,PO Item,Material No,Material Short Text,PO Quantity,Total GR Qty,PO Line Process,PO Line Status
68037497,,WGU,1900014798,Celio Packaging ApS,Denmark,,DAP,2024-05-16,20,S8903055,"Plastic foil f. auto wrapper, campus 2",85,85,LTA,CLOSED
68037475,,NANXIONNAZ,1900010258,Procter & Gamble Company,USA (the),X12010,DAP,2024-07-01,10,S5007321,"Water floc. & disinfectant,pdr/BOX-240",8600,8600,LTA,CLOSED
68037478,,MKAZEMI,1900000468,Remedica Ltd.,Cyprus,X12002,DAP,2024-06-15,10,S1505104,Amoxicillin 500mg caps/PAC-10x10,5000,5000,NONE,CLOSED
68037491,Panalpina / DSV Air & Sea A/S,TNIELSEN,1900019367,JSC Grindeks,Latvia,X12002,FCA,2024-08-15,10,S1545300,Oxytocin inj 10 IU 1ml amp/BOX-10,48000,47759,LTA,CLOSED
68037482,,MKAZEMI,1900000468,Remedica Ltd.,Cyprus,,DAP,2024-08-10,10,S1537110,Sulf.400mg+Trimet.80mg tabs/PAC-10x10,15000,15000,LTA,CLOSED
68037490,Kuehne + Nagel A/S,SHVISWANATHA,1900020040,Gemini Global Limited,China,X12010,FCA,2024-05-08,10,S5001010,"Box,metal,lockable,for storage",384,384,LTA,CLOSED
68037490,Kuehne + Nagel A/S,SHVISWANATHA,1900020040,Gemini Global Limited,China,X12010,FCA,2024-05-20,20,S5034000,Science Teaching Kit,264,264,LTA,CLOSED
68037492,Kuehne + Nagel A/S,SHVISWANATHA,1900000422,BIAB International AB,Sweden,X12010,FCA,2024-05-30,10,S1993555,"Users guide Recreation Kit, French",10800,10800,LTA,CLOSED
68037492,Kuehne + Nagel A/S,SHVISWANATHA,1900000422,BIAB International AB,Sweden,X12010,FCA,2024-05-25,20,S5001010,"Box,metal,lockable,for storage",384,384,LTA,CLOSED
68037492,Kuehne + Nagel A/S,SHVISWANATHA,1900000422,BIAB International AB,Sweden,X12010,FCA,2024-05-30,30,S4411010,"Book,drawing,A5,plain,96 pgs/PAC-10",14880,14880,LTA,CLOSED
68037489,,AWEIS,1900022348,Albino Dias de Andrade,Portugal,X12004,DAP,2024-06-10,10,S0523057,"Surgical(Laparotomy)Pads,sterile,/PAC-5",3888,3900,LTA,CLOSED
68037744,Kuehne + Nagel A/S,JFRANDSEN,1900010874,Arab Printing Press  S.A.L,Lebanon,X12010,FCA,2024-09-02,10,S5034001,Adolescent Kit,392,392,LTA,CLOSED
68037479,,MKAZEMI,1900000443,Purna Pharmaceuticals N.V.,Belgium,X12004,DAP,2024-09-09,10,S1550180,Ferrous sulp.oral sol. 125mg/ml/BOT-30ml,628000,636200,LTA,CLOSED
62000127,DHL Global Forwarding (Denmark) A/S,PLPETERSEN,1900015387,NRS Relief FZCO,Utd.Arab.Emir.,X33308,FCA,2024-05-29,10,S5088072,High Performance Tent - 72M2,14,14,LTA,CLOSED
62000127,DHL Global Forwarding (Denmark) A/S,PLPETERSEN,1900015387,NRS Relief FZCO,Utd.Arab.Emir.,X33308,FCA,2024-05-29,20,S5088048,High Performance Tent - 48M2,8,8,LTA,CLOSED
