Order,Destination,Ship to party,Pack date,No of kits/sets,Priority,Incomplete,Shipping point,Background,Foreground,Sampling,Release,Prepick,Bagging,Miniload,SL/Bulk,Long line A,Long line B,QA label,Virtual pack,Haz. Material
50183047,Sudan (the),X40202,26.03.2025,--,2,No,1002,,C,,C,,,,C,,,,C,No
50183051,Sudan (the),X40202,26.03.2025,--,2,No,1002,,C,,C,C,,,C,,,,C,No
50183053,Sudan (the),X40202,26.03.2025,--,2,No,1002,,C,,C,C,,,C,,,,C,No
50183052,Sudan (the),X40202,26.03.2025,--,2,No,1002,,C,,C,C,,,C,,,,C,No
50183054,Sudan (the),X40202,26.03.2025,--,2,No,1002,,C,,C,C,,,C,,,,C,No
50183055,Sudan (the),X40202,26.03.2025,--,2,No,1002,,C,,C,,,,C,,,,C,No
50183056,Sudan (the),X40202,26.03.2025,--,2,No,1002,,C,,C,C,,,C,,,,C,No
50183059,Sudan (the),X40202,26.03.2025,--,2,No,1002,,C,,C,,,,C,,,,C,No
50183057,Sudan (the),X40202,26.03.2025,--,2,No,1002,,C,,C,C,,,C,,,,C,No
50183060,Sudan (the),X40202,26.03.2025,--,2,No,1002,C,,,C,,,,C,,,,C,Yes
50183063,Sudan (the),X40202,26.03.2025,--,2,No,1002,,C,,C,,,,C,,,,C,No
50183064,Sudan (the),X40202,26.03.2025,--,2,No,1002,C,,,C,C,,,C,,,,C,No
50183061,Sudan (the),X40202,26.03.2025,--,2,No,1002,,C,,C,C,,,C,,,,C,No
50183065,Sudan (the),X40202,26.03.2025,--,2,No,1002,C,,,C,C,,,C,,,,C,No
50183068,Sudan (the),X40228,26.03.2025,--,2,No,1002,,C,,C,C,,,C,,,,C,No
50183066,Sudan (the),X40202,26.03.2025,--,2,No,1002,C,,,C,,,,C,,,,C,No
50183067,Sudan (the),X40228,26.03.2025,--,2,No,1002,C,,,C,,,,C,,,,C,Yes
50183071,Sudan (the),X40228,26.03.2025,--,2,No,1002,C,,,C,C,,,C,,,,C,No
50183070,Sudan (the),X40228,26.03.2025,--,2,No,1002,C,,,C,C,,,C,,,,C,No
50183069,Sudan (the),X40228,26.03.2025,--,2,No,1002,C,,,C,,,,C,,,,C,Yes
50183072,Sudan (the),X40228,26.03.2025,--,2,No,1002,C,,,C,C,,,C,,,,C,No
50183073,Sudan (the),X40228,26.03.2025,--,2,No,1002,C,,,C,C,,,C,,,,C,No
50183078,Niger (the),X31802,03.04.2025,--,2,No,1000,C,,,C,C,,,C,,,,C,No
50183077,South Sudan,X40402,03.04.2025,--,2,No,1000,C,,,C,C,,,C,,,,C,No
100034702,Denmark,X99994,03.04.2025,740,2,No,1999,,C,,C,C,,A,,,,,,No
100034703,Denmark,X99994,03.04.2025,740,2,No,1999,,C,,C,C,,A,,,,,,No
50183106,Sudan (the),X40202,27.03.2025,--,2,No,1002,C,,,C,C,,,C,,,,C,No
50183109,Niger (the),X31802,06.04.2025,--,2,No,1000,C,,,C,C,,,C,,,,,Yes
50183107,Sudan (the),X40202,27.03.2025,--,2,No,1002,C,,,C,C,,,C,,,,C,No
50183111,South Sudan,X40401,06.04.2025,--,2,No,1000,C,,,C,C,,,C,,,,,No
50183118,Sudan (the),X40202,28.03.2025,--,2,No,1002,C,,,C,C,,,C,,,,C,No
50183120,Sudan (the),X40202,28.03.2025,--,2,No,1002,C,,,C,,,,C,,,,C,No
50183122,Sudan (the),X40202,28.03.2025,--,2,No,1002,,C,,C,C,,,C,,,,C,Yes
50183121,Sudan (the),X40202,28.03.2025,--,2,No,1002,C,,,C,C,,,C,,,,C,Yes
50183123,Sudan (the),X40228,28.03.2025,--,2,No,1002,C,,,C,C,,,C,,,,C,Yes
50183124,Sudan (the),X40228,28.03.2025,--,2,No,1002,,C,,C,C,,,C,,,,C,No
50183125,Sudan (the),X40228,28.03.2025,--,2,No,1002,,C,,C,C,,,C,,,,C,No
50183126,Sudan (the),X40202,28.03.2025,--,2,No,1002,,C,,C,C,,,C,,,,C,No
100035080,Denmark,X99994,03.04.2025,400,2,No,1999,C,,,C,C,,B,,,,,,No
50183130,Sudan (the),X40202,28.03.2025,--,2,No,1002,C,,,C,C,,,C,,,,C,Yes
50183131,Sudan (the),X40202,28.03.2025,--,2,No,1002,C,,,C,C,,,C,,,,C,Yes
50183129,Sudan (the),X40202,28.03.2025,--,2,No,1002,C,,,C,C,,,C,,,,C,No
50183133,Sudan (the),X40202,28.03.2025,--,2,No,1002,C,,,C,C,,,C,,,,C,Yes
50183132,Sudan (the),X40202,28.03.2025,--,2,No,1002,C,,,C,C,,,C,,,,,Yes
50183134,Sudan (the),X40202,28.03.2025,--,2,No,1002,C,,,C,C,,,C,,,,C,No
50183135,Sudan (the),X40202,28.03.2025,--,2,No,1002,C,,,C,C,,,C,,,,,Yes
50183136,Sudan (the),X40202,28.03.2025,--,2,No,1002,C,,,C,C,,,C,,,,C,No
50183150,Chad,X08105,08.04.2025,--,2,No,1000,C,,,C,C,,,C,,,,C,No
50183152,Benin,X11702,07.04.2025,--,2,No,1000,C,,,C,C,,,C,,,,,Yes
50183159,Chad,X08105,29.03.2025,--,2,No,1002,C,,,C,,,,C,,,,,No
50183168,Central Afr.Rep,X07502,08.04.2025,--,2,No,1000,C,,,C,C,,,A,,,,,No
50161086,Venezuela,X47102,19.01.2023,--,3,No,1000,,C,,C,C,,,C,,,,C,No
50161710,South Sudan,X40402,08.02.2023,--,3,No,1000,,C,,C,C,,,C,,,,C,Yes
50163895,Türkiye,X43530,30.03.2023,--,3,No,1002,,C,,C,,,,C,,,,C,No
50164500,Central Afr.Rep,X07502,10.05.2023,--,3,No,1000,,C,,C,C,,,C,,,,,Yes
50174289,S.Tome&Principe,X68302,19.05.2024,--,3,No,1000,,C,,C,C,,,C,,,,,No
50174374,Micronesia,X69345,20.05.2024,--,3,No,1000,,C,,C,C,,,C,,,,,Yes
50181483,Mozambique,X689J8,12.03.2025,--,3,No,1000,C,,,C,,,,C,,,,,No
50181503,Mozambique,X689J8,20.01.2025,--,3,No,1000,C,,,C,C,,,C,,,,C,No
50181594,Kenya,X24020,23.01.2025,--,3,No,1000,C,,,C,C,,,C,,,,C,No
50181824,Poland,X345A0,04.02.2025,--,3,No,1000,C,,,C,C,,,C,,,,,No
50182327,DPR of Korea,X51511,03.03.2025,--,3,No,1000,C,,,C,C,,,C,,,,,No
50182347,Bangladesh,X50703,03.03.2025,--,3,No,1000,C,,,C,C,,,C,,,,C,Yes
50182348,Bangladesh,X50703,05.03.2025,--,3,No,1000,C,,,C,C,,,C,,,,,Yes
50182350,Bangladesh,X50703,05.03.2025,--,3,No,1000,C,,,C,,,,C,,,,,Yes
50182349,Bangladesh,X50703,05.03.2025,--,3,No,1000,C,,,C,C,,,C,,,,C,Yes
50182351,Bangladesh,X50703,05.03.2025,--,3,No,1000,C,,,C,C,,,C,,,,,Yes
50182370,Yemen,X49205,04.03.2025,--,3,No,1000,,C,,C,C,,,C,,,,C,No
50182372,Yemen,X49205,04.03.2025,--,3,No,1000,,C,,C,C,,,C,,,,C,No
50182429,Somalia,X39228,06.03.2025,--,3,No,1000,C,,,C,C,,,C,,,,C,No
50182430,Somalia,X39209,06.03.2025,--,3,No,1000,C,,,C,C,,,C,,,,C,No
50182485,South Sudan,X40402,09.03.2025,--,3,No,1000,C,,,C,,,,C,,,,C,Yes
50182518,Solomon Islands,X63107,10.03.2025,--,3,No,1000,C,,,C,C,,,C,,,,,No
50182539,"Lao,Peo.Dem.Rep",X24602,11.03.2025,--,3,No,1000,C,,,C,C,,,C,,,,,No
50182610,Mozambique,X689J9,13.03.2025,--,3,No,1000,C,,,C,C,,,C,,,,,Yes
100035047,Denmark,X99994,20.03.2025,900,3,No,1999,C,,,C,C,,A,,,,,,No
50182704,Timor-Leste,X706C2,18.03.2025,--,3,No,1000,,C,,C,C,,,C,,,,C,No
50182703,Timor-Leste,X706C2,07.03.2025,--,3,No,1000,,C,,C,C,,,C,,,,C,No
50182728,Mozambique,L689000107,19.03.2025,--,3,No,1000,C,,,C,C,,,C,,,,C,No
100034938,Denmark,X99994,06.03.2025,183,3,No,1999,,C,,C,C,,A,,,,,,No
50182764,Yemen,X49206,20.03.2025,--,3,No,1000,C,,,C,,,,C,,,,,No
50182810,Sierra Leone,X390H0,25.03.2025,--,3,No,1000,C,,,C,C,,,C,,,,C,No
50182811,Yemen,X49205,24.03.2025,--,3,No,1000,C,,,C,C,,,C,,,,C,No
50182850,Mozambique,X689F5,22.04.2025,--,3,No,1000,,C,,C,,,,,,,,C,No
50182914,Niger (the),X31802,30.03.2025,--,3,No,1000,C,,,C,C,,,C,,,,,No
50182916,Burkina Faso,X45902,30.03.2025,--,3,No,1000,C,,,C,C,,,C,,,,,No
50182922,Tajikistan,X41521,30.03.2025,--,3,No,1000,C,,,C,C,,,C,,,,C,No
50182949,Sierra Leone,X39002,31.03.2025,--,3,No,1000,C,,,C,C,,,C,,,,,No
50182967,Cote d'Ivoire,X22502,31.03.2025,--,3,No,1000,C,,,C,C,,,C,,,,,No
50182972,Madagascar,X26701,27.03.2025,--,3,No,1000,C,,,C,C,,,C,,,,C,Yes
50182986,Mali,X27605,31.03.2025,--,3,No,1000,C,,,C,C,,,C,,,,C,No
50182990,Central Afr.Rep,X07506,01.04.2025,--,3,No,1000,C,,,C,C,,,C,,,,,No
50182974,Tanzania,X455M5,31.03.2025,--,3,No,1000,C,,,C,C,,,C,,,,C,No
50182976,Burkina Faso,X45902,22.04.2025,--,3,No,1000,C,,,C,C,,,C,,,,,Yes
50182981,Syrian Arab Rep,X41428,31.03.2025,--,3,No,1000,C,,,C,C,,,C,,,,C,No
50182983,Syrian Arab Rep,X41428,31.03.2025,--,3,No,1000,C,,,C,,,,C,,,,C,No
50182996,Bolivia,X05103,01.04.2025,--,3,No,1000,C,,,C,C,,,C,,,,,No
50183013,Niger (the),X31802,02.04.2025,--,3,No,1000,C,,,C,,,,C,,,,,No
50183014,South Sudan,X404H0,03.04.2025,--,3,No,1000,C,,,C,C,,,C,,,,,No
50183017,Niger (the),X31802,03.04.2025,--,3,No,1000,C,,,C,C,,,C,,,,,Yes
50183021,Chad,X08105,02.04.2025,--,3,No,1000,C,,,C,,,,C,,,,C,No
50183023,Guinea,X17703,02.04.2025,--,3,No,1000,C,,,C,C,,,C,,,,C,No
50183022,Chad,X08105,02.04.2025,--,3,No,1000,C,,,C,C,,,C,,,,C,No
50183011,Yemen,X49205,02.04.2025,--,3,No,1000,,C,,C,C,,,C,,,,,No
50183010,Chad,X08105,02.04.2025,--,3,No,1000,C,,,C,C,,,C,,,,C,No
50183030,Central Afr.Rep,X07506,02.04.2025,--,3,No,1000,C,,,C,C,,,A,,,,C,No
50183032,Central Afr.Rep,X07506,02.04.2025,--,3,No,1000,C,,,C,C,,,A,,,,C,No
50183058,Central Afr.Rep,X07506,02.04.2025,--,3,No,1000,C,,,C,C,,,A,,,,C,Yes
50183076,Burkina Faso,X45909,03.04.2025,--,3,No,1000,C,,,C,C,,,A,,,,,No
50183082,Rwanda,X37502,06.04.2025,--,3,No,1000,C,,,C,C,,,C,,,,,No
50183079,Paraguay,X33602,03.04.2025,--,3,No,1000,C,,,C,C,,,C,,,,C,No
50183087,Rwanda,X37502,06.04.2025,--,3,No,1000,C,,,C,,,,C,,,,C,No
50183086,Rwanda,X37502,06.04.2025,--,3,No,1000,C,,,C,,,,C,,,,,No
50183083,Rwanda,X37502,06.04.2025,--,3,No,1000,C,,,C,C,,,C,,,,,No
100034928,Denmark,X99994,27.03.2025,278,3,No,1999,C,,,C,C,,,A,,,,,No
100034926,Denmark,X99994,27.03.2025,278,3,No,1999,C,,,C,C,,,A,,,,,No
100035084,Denmark,X99994,03.04.2025,1605,3,No,1999,C,,,C,C,,,,A,A,,,No
50183104,Central Afr.Rep,X07506,03.04.2025,--,3,No,1000,C,,,C,C,,,A,,,,C,No
50183112,Central Afr.Rep,X07506,06.04.2025,--,3,No,1000,C,,,C,C,,,C,,,,C,No
50183113,Ghana,X16216,06.04.2025,--,3,No,1000,C,,,C,C,,,B,,,,C,No
50183116,Niger (the),X31802,06.04.2025,--,3,No,1000,C,,,C,C,,,C,,,,,No
50183144,Ethiopia,X14102,06.04.2025,--,3,No,1000,C,,,C,C,,,C,,,,,No
50183151,Cameroon,X06909,07.04.2025,--,3,No,1000,C,,,C,C,,,A,,,,C,No
50183145,Ethiopia,X14102,06.04.2025,--,3,No,1000,,C,,C,C,,,A,,,,C,No
57044878,Utd.Arab.Emir.,X44906,02.04.2025,--,3,No,1000,C,,,C,C,,,A,,,,C,No
50183157,Iran,X21007,07.04.2025,--,3,No,1000,C,,,C,C,,,C,,,,C,No
100034996,Denmark,X99994,03.04.2025,800,3,No,1999,C,,,C,C,,A,,,,,,No
50183167,Niger (the),X31802,08.04.2025,--,3,No,1000,C,,,C,C,,,A,,,,,No
50183169,Niger (the),X31811,08.04.2025,--,3,No,1000,C,,,C,C,,,A,,,,C,No
50183175,Cote d'Ivoire,X22502,08.04.2025,--,3,No,1000,C,,,C,C,,,A,,,,,Yes
50181165,Mozambique,X689J8,01.01.2025,--,4,No,1000,C,,,C,C,,,C,,,,C,No
50182517,Solomon Islands,X63107,10.03.2025,--,4,No,1000,C,,,C,C,,,C,,,,,No
50182515,Solomon Islands,X63107,10.03.2025,--,4,No,1000,C,,,C,C,,,C,,,,,Yes
50182836,Venezuela,X47102,25.03.2025,--,4,No,1000,C,,,C,C,,,C,,,,C,Yes
50182905,Cuba,X10504,27.03.2025,--,4,No,1000,C,,,C,C,,,C,,,,C,Yes
50182906,Cuba,X10504,27.03.2025,--,4,No,1000,C,,,C,C,,,C,,,,C,No
50182999,Liberia,X25504,24.03.2025,--,4,No,1000,C,,,C,C,,,C,,,,,No
100034881,Denmark,X99994,27.03.2025,58,4,No,1999,,C,,C,C,,,,A,A,,,No
100035123,Denmark,X99994,10.04.2025,4500,4,No,1999,C,,,C,C,,,A,,,,,No
100034927,Denmark,X99994,27.03.2025,278,4,No,1999,,C,,C,C,,,A,,,,,No
50183074,Yemen,X49239,06.04.2025,--,4,No,1000,,C,,C,C,,,C,,,,C,No
50183100,Yemen,X49239,06.04.2025,--,4,No,1000,,C,,C,C,,,A,,,,,No
50183149,Yemen,X49239,07.04.2025,--,4,No,1000,,C,,C,C,,,A,,,,C,No
50168073,Mozambique,X68906,05.09.2023,--,5,No,1000,,C,,C,,,,C,,,,C,No
50168756,Bangladesh,X50701,03.10.2023,--,5,No,1000,,C,,C,,,,C,,,,C,No
50172500,Ukraine,X44106,26.02.2024,--,5,No,1000,,C,,C,C,,,C,,,,C,Yes
50172529,Ukraine,X44106,27.02.2024,--,5,No,1000,,C,,C,,,,C,,,,C,Yes
50172649,Afghanistan,X00620,05.03.2024,--,5,No,1000,,C,,C,,,,C,,,,C,No
50174002,Yemen,X49239,07.05.2024,--,5,No,1000,,C,,C,,,,C,,,,C,No
