Description,Shift Start Time,B1 Start time,B1 End time,Lunch Start,Lunch End,B2 Start,B2 End,Shift End,Working hour(s)
Day Shift,06:30:00,09:00:00,09:20:00,11:30:00,12:05:00,13:45:00,14:00:00,15:00:00,07:20:00
Evening Shift,15:00:00, , ,17:30:00,18:00:00,19:40:00,20:00:00,22:00:00,06:10:00
