Material Number,Description,Article Type,Batch Managed,Plant,Unit of Measure,Multi-Part,Kit parrent,KIT Routing,Full Pallet Qty,Weight,Weight UOM,Volume,Volume UOM,Shelf life allowed,Storage Strategy,Batch Class,Packing Material,Packing material Volume,Less Than Count Percentage,Temperature cond.,Hazardous Material Number
S0721000,"Forceps,dressing,standard,155mm,str",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.034,KGM,0.001,DMQ,--,HBW,--,No,--,10,--,--
S0390020,"Airway,Guedel,size 0",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.029,KGM,0.28,DMQ,--,HBW,--,No,--,10,--,--
S0514000,"Brush,hand,scrubbing,plastic",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.032,KGM,0.155,DMQ,--,HBW,--,No,--,10,--,--
S0189000,"Weighing trousers,infant,25kg,PAC-5",Z01,No,1000,PAC,No,--,SHORT_LINE,Yes,0.538,KGM,3.655,DMQ,--,HBW,--,No,--,10,--,--
S0276500,"Tray,instr,ss,310x195x60mm,w/cover",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,1.107,KGM,6.816,DMQ,--,HBW,--,No,--,10,--,--
S0327540,"Gloves,surg,pwdfree,8.5,ster,s.u.,pair",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.041,KGM,0.216,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0330025,"Gloves,exam,latex,pwdfree,M,BOX-100",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.722,KGM,3.143,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0512111,"Bandage,gauze,8cmx4m,roll",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.01,KGM,0.071,DMQ,--,HBW,--,No,--,10,--,--
S0728000,"Forceps,artery,Pean/Roch,200mm,cvd",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.118,KGM,1.016,DMQ,--,HBW,--,No,--,10,--,--
S0114400,Height measuring instrument (0-2.2m),Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.257,KGM,1.612,DMQ,--,HBW,--,No,--,10,--,--
S0516110,"First Aid bag,UNICEF,blue,410x280x170mm",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.59,KGM,7.672,DMQ,--,HBW,--,No,--,10,--,--
S0210020,"Basin,kidney,polypropylene,475ml",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.07,KGM,0.414,DMQ,--,HBW,--,No,--,10,--,--
S0322010,"Catheter,urethral,CH12,ster,disp",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.012,KGM,0.141,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0372020,"Tube,asp/feed,CH12,L125cm,ster,disp",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.029,KGM,0.323,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0374025,"Tube,suction,CH14,L50cm,ster,disp",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.016,KGM,0.153,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0725000,"Forceps,artery,Mixter,230mm",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.091,KGM,0.369,DMQ,--,HBW,--,No,--,10,--,--
S0114051,"Nut. kit,inpatient,module-registration",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,25.186,KGM,0.137,MTQ,--,HBW,--,No,--,10,--,--
S0140500,"Scale,beam type,child/adult,220kgx50g",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,22.661,KGM,0.153,MTQ,--,HBW,--,No,--,10,--,--
S0145555,"Scale,spring type,infant,25kgx100g",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,1.53,KGM,7.318,DMQ,--,HBW,--,No,--,10,--,--
S0145750,"ID Bracelet,child,white/PAC-400",Z01,No,1000,PAC,No,--,SHORT_LINE,Yes,1.222,KGM,5.699,DMQ,--,HBW,--,No,--,10,--,--
S0167100,"Papersheet,crepe,for ster. pack/PAC-100",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,6.4,KGM,0.028,MTQ,--,HBW,--,No,--,10,--,--
S0108000,"Drum,sterilizing,290mm diam",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,1.726,KGM,24.573,DMQ,--,HBW,--,No,--,10,--,--
S0737200,"Forceps,tissue,Collin,160mm",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.083,KGM,0.609,DMQ,--,HBW,--,No,--,10,--,--
S0114530,"Length/height board,baby/child,SET-2",Z01,No,1000,SET,No,--,SHORT_LINE,Yes,12.656,KGM,0.133,MTQ,--,HBW,--,No,--,10,--,--
S0170000,"Stove,kerosene,single-burner,pressure",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,2.421,KGM,21.779,DMQ,--,HBW,--,No,--,10,--,--
S0330030,"Gloves,exam,latex,pwdfree,L,BOX-100",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.73,KGM,3.3,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0330110,"Gloves,gyn,pwdfree,small,ster,s.u.,pair",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.075,KGM,0.4,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0330500,"Bag,urine,collecting,2000ml",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.054,KGM,0.393,DMQ,--,HBW,--,No,--,10,--,--
S0109000,"Drum,sterilizing,340mm diam",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,3.548,KGM,28.877,DMQ,--,HBW,--,No,--,10,--,--
TRAY,Material for pallets with trays to wash,wms,No,--,,No,--,SHORT_LINE,No,1.0,--,--,--,--,--,--,No,--,--,--,--
S0145760,"ID Bracelet,child,red/PAC-400",Z01,No,1000,PAC,No,--,SHORT_LINE,Yes,1.503,KGM,7.878,DMQ,--,HBW,--,No,--,10,--,--
S0323303,"Catheter,Foley,CH18,ster,disp",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.033,KGM,0.277,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0334200,"Jar,thermometer,pp,11cm,w/o cover",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.048,KGM,0.512,DMQ,--,HBW,--,No,--,10,--,--
S0372010,"Tube,asp/feed,CH08,L125cm,ster,disp",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.021,KGM,0.24,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0114050,"Nutrition kit,anthropometric",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,30.0,KGM,0.134,MTQ,--,HBW,--,No,--,10,--,--
S0222020,"Bedpan,polypropylene,adult",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.953,KGM,15.93,DMQ,--,HBW,--,No,--,10,--,--
S0323010,"Catheter,urethral,CH14,ster,disp",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.011,KGM,0.118,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0327510,"Gloves,surg,pwdfree,7,ster,s.u.,pair",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.038,KGM,0.223,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0372000,"Tube,asp/feed,CH06,L125cm,ster,disp",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.017,KGM,0.246,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0383040,"Tube,endotrach,7.5,w/cuff,ster,disp",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.053,KGM,0.866,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0385010,"Tourniquet,latex-free,50cm",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.03,KGM,0.165,DMQ,--,HBW,--,No,--,10,--,--
S0503025,"Bandage,elastic,7.5cmx5m,roll",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.033,KGM,0.245,DMQ,--,HBW,--,No,--,10,--,--
S0728500,"Forceps,artery,Pean/Roch,220mm,str",Z01,No,1000,EA,No,--,SHORT_LINE,No,0.073,KGM,0.069,DMQ,--,HBW,--,No,--,10,--,--
S0270000,"Tray,instr,ss,225x125x50mm,w/cover",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.444,KGM,2.314,DMQ,--,HBW,--,No,--,10,--,--
S0327530,"Gloves,surg,pwdfree,8,ster,s.u.,pair",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.04,KGM,0.211,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0782151,"Syringe,A-D,0.5ml,Terumo/BOX-100",Z01,Yes,1000,BOX,No,--,SHORT_LINE,No,0.556,KGM,6.067,DMQ,425,HBW,MEDICAL,No,--,--,--,--
S0782309,"Syringe,RUPw/SIP,5ml,w/fixed ndl/BOX-100",Z01,Yes,1000,BOX,No,--,SHORT_LINE,No,0.67,KGM,6,DMQ,425,HBW,PHARMACEUTICALS,No,--,--,--,--
S0715300,"Scoop,uterine,Simon,12mm,sharp",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.104,KGM,0.619,DMQ,--,HBW,--,No,--,10,--,--
S0724000,"Forceps,artery,Kelly,140mm,cvd",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.031,KGM,0.037,DMQ,--,HBW,--,No,--,10,--,--
S0323301,"Catheter,Foley,CH12,ster,disp",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.026,KGM,0.301,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0334700,"Jug,measuring,1L",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.208,KGM,2.816,DMQ,--,HBW,--,No,--,10,--,--
S0330020,"Gloves,exam,latex,pwdfree,S,BOX-100",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.7,KGM,3.854,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0330115,"Gloves,gyn,pwdfree,medium,ster,s.u.,pair",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.069,KGM,0.437,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0366010,"Syringe,feeding,50ml,catheter tip,ster",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.049,KGM,0.456,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0713000,"Curette,uterine,Sims,8mm,blunt",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.107,KGM,0.526,DMQ,--,HBW,--,No,--,10,--,--
S0319000,"Extractor,mucus,20ml,ster,disp",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.051,KGM,0.518,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0370100,"Prongs,nasal,Oxygen,adult,s.u.",Z01,No,1000,EA,No,--,SHORT_LINE,No,0.046,KGM,0.34,DMQ,--,HBW,--,No,--,10,--,--
S0114600,"Measuring mat,length,child,0-3 years",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.88,KGM,8.249,DMQ,--,HBW,--,No,--,10,--,--
S0145630,"MUAC,Adult,w/o color code,PAC-50,English",Z01,No,1000,PAC,No,--,SHORT_LINE,Yes,0.189,KGM,0.398,DMQ,--,HBW,--,No,--,10,--,--
S0323302,"Catheter,Foley,CH14,ster,disp",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.029,KGM,0.295,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0374010,"Tube,suction,CH08,L50cm,ster,disp",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.013,KGM,0.163,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0374015,"Tube,suction,CH10,L50cm,ster,disp",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.012,KGM,0.144,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0383010,"Tube,endotrach,3.5,w/o cuff,ster,disp",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.035,KGM,0.595,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0715200,"Curette,uterine,Sims,12mm,sharp",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.126,KGM,1.921,DMQ,--,HBW,--,No,--,10,--,--
S0504000,"Tape,adhesive,Z.O,perforated,10cmx5m",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.154,KGM,0.772,DMQ,--,HBW,--,No,--,10,--,--
S0714300,"Curette,uterine,Sims,7mm,sharp",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.086,KGM,0.496,DMQ,--,HBW,--,No,--,10,--,--
S0114052,"Nut. kit,inpatient,module-equipment",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,81.9,KGM,1.013,MTQ,--,HBW,--,No,--,10,--,--
S0157000,"Sterilizer,steam,24L",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,14.409,KGM,0.103,MTQ,--,HBW,--,No,--,10,--,--
S0190000,"Receptacle,waste,pedal action,20L",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,5.831,KGM,87.344,DMQ,--,HBW,--,No,--,10,--,--
S0214020,"Bowl,round,polypropylene,6 - 8L",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.327,KGM,2.735,DMQ,--,HBW,--,No,--,10,--,--
S0305000,"Apron,protection,plastic,reusable",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.327,KGM,0.001,MTQ,--,HBW,--,No,--,10,--,--
S0278000,"Tray,dressing,ss,480x330x20mm",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,1.256,KGM,1.533,DMQ,--,HBW,--,No,--,10,--,--
S0390040,"Airway,Guedel,size 2",Z01,No,1000,EA,No,--,SHORT_LINE,No,0.039,KGM,0.343,DMQ,--,HBW,--,No,--,10,--,--
S0714700,"Curette,uterine,Sims,9mm,sharp",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.189,KGM,1.843,DMQ,--,HBW,--,No,--,10,--,--
S0738000,"Forceps,tissue,Allis,150mm",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.048,KGM,0.188,DMQ,--,HBW,--,No,--,10,--,--
S0739100,"Forceps,tissue,Duval,230mm",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.102,KGM,0.394,DMQ,--,HBW,--,No,--,10,--,--
S0737700,"Forceps,tissue,standard,250mm,str",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.093,KGM,0.529,DMQ,--,HBW,--,No,--,10,--,--
S0741500,"Forceps,uterine,Phaneuf,215mm,cvd",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.095,KGM,0.434,DMQ,--,HBW,--,No,--,10,--,--
S0746110,"Scalpel blade,ster,disp,no.11",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.001,KGM,0.012,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0744300,"Needle,scalp vein,25G,ster,disp",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.005,KGM,0.066,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0747440,"Needle,disp,22G,ster/BOX-100",Z01,Yes,1000,BOX,No,--,SHORT_LINE,Yes,0.153,KGM,1.026,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0746010,"Scalpel blade,ster,disp,no.10",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.001,KGM,0.011,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0747445,"Needle,disp,25G,ster/BOX-100",Z01,Yes,1000,BOX,No,--,SHORT_LINE,Yes,0.125,KGM,1.105,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0771250,"Scissors,Metzembaum,140mm,cvd,b/b",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.12,KGM,0.9,DMQ,--,HBW,--,No,--,10,--,--
S0773550,"Scissors,Deaver,140mm,cvd,s/b",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.046,KGM,0.14,DMQ,--,HBW,--,No,--,10,--,--
S0770800,"Scissors,Mayo,230mm,cvd,b/b",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.139,KGM,0.459,DMQ,--,HBW,--,No,--,10,--,--
S0760800,"Tube suction,Yankauer,270mm",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.117,KGM,0.503,DMQ,--,HBW,--,No,--,10,--,--
S0760640,"Pump,suction,foot-operated",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,5.211,KGM,48.691,DMQ,--,HBW,--,No,--,10,--,--
S0778000,"Speculum,vaginal,Graves,115x35mm",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.208,KGM,1.091,DMQ,--,HBW,--,No,--,10,--,--
S0747420,"Needle,disp,19G,ster/BOX-100",Z01,Yes,1000,BOX,No,--,SHORT_LINE,Yes,0.176,KGM,1.446,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0767800,"Retractor,abdo,Collin,3 blades",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.567,KGM,2.25,DMQ,--,HBW,--,No,--,10,--,--
S0747995,"Needle,spinal,22G(0.7x40mm),ster,disp",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.006,KGM,0.066,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0777500,"Speculum,vaginal,Graves,95x35mm",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.174,KGM,0.821,DMQ,--,HBW,--,No,--,10,--,--
S0782304,"Syringe,RUPw/SIP,3ml,w/fixed ndl/BOX-100",Z01,Yes,1000,BOX,No,--,SHORT_LINE,No,0.9,KGM,6,DMQ,425,HBW,MEDICAL,No,--,--,--,--
S5006281,"Family Hygiene and Dignity Kit, Standard",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,8.156,KGM,37.879,DMQ,--,HBW,--,No,--,--,--,--
S5031029,Freeze Dried Meal Kit for 1 Day Veg,Z01,Yes,1000,EA,No,--,SHORT_LINE,No,0.48,KGM,0.06,MTQ,425,HBW,PHARMACEUTICALS,No,--,--,--,--
S1400101,Lamivudine oral sol.10mg/ml/BOT-240ml gb,Z01,Yes,1000,EA,No,--,SHORT_LINE,No,0.345,KGM,0.7,DMQ,240,HBW,PHARMACEUTICALS,No,--,10,Z1,--
S0584634,DPP ZCD IgM/IgG System/pack 20,Z01,Yes,1000,EA,No,--,SHORT_LINE,No,0.9,KGM,0.001,MTQ,425,HBW,MEDICAL,No,--,--,--,--
S9996755,"SUB 2/2 S9906754 Nut,Anthropometric. ETH",Z02,No,1000,EA,No,S9906754,SHORT_LINE,No,14.0,KGM,0.102,MTQ,--,HBW,--,No,--,--,Z1,--
S1400128,Nevirapine oral susp10mg/ml/BOT-100ml gb,Z01,Yes,1000,EA,No,--,SHORT_LINE,No,0.184,KGM,0.673,DMQ,240,HBW,PHARMACEUTICALS,No,--,10,Z1,--
S1400100,Lamivudine oral sol.10mg/ml/BOT-100ml gb,Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.188,KGM,0.82,DMQ,240,HBW,PHARMACEUTICALS,No,--,10,Z1,--
S1400122,Nevirapine 200mg tabs/PAC-60          gb,Z01,Yes,1000,EA,No,--,SHORT_LINE,No,0.043,KGM,0.221,DMQ,240,HBW,PHARMACEUTICALS,No,--,10,Z1,--
S1400502,ABC300mg+3TC150mg+AZT300mg tabs/PAC-60gb,Z01,Yes,1000,EA,No,--,SHORT_LINE,No,0.111,KGM,0.358,DMQ,240,HBW,PHARMACEUTICALS,No,--,10,Z1,--
S1400400,"Zidovudine IV,10mg/ml,inf.,20ml vl/BOX-5",Z01,Yes,1000,EA,No,--,SHORT_LINE,No,0.0,KGM,0,DMQ,240,HBW,PHARMACEUTICALS,No,--,10,Z1,--
S1400200,Zidovudine oral sol.10mg/ml/BOT-100ml gb,Z01,Yes,1000,EA,No,--,SHORT_LINE,No,0.223,KGM,0.879,DMQ,240,HBW,PHARMACEUTICALS,No,--,10,Z1,--
S9906734.5,"South Sudan, PHCU Kit 2018",Z02,Yes,1000,EA,No,--,SHORT_LINE,Yes,16.0,KGM,0.12,MTQ,425,--,PHARMACEUTICALS,No,--,--,Z1,--
S0772000,"Scissors,bandage,200mm,str",Z01,No,1000,EA,No,--,SHORT_LINE,No,0.132,KGM,0.11,DMQ,--,HBW,--,No,--,10,--,--
S0748100,"Needle,spinal,22G(0.7x90mm),ster,disp",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.006,KGM,0.089,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0748300,"Needle,spinal,20G(0.9x90mm),ster,disp",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.007,KGM,0.055,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0768930,"Retractor,Farabeuf,d-e,120mm,pair",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.096,KGM,0.513,DMQ,--,HBW,--,No,--,10,--,--
S0774700,"Scissors,gyneco,200mm,cvd,b/b",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.099,KGM,0.357,DMQ,--,HBW,--,No,--,10,--,--
S0759820,"Probe,double-ended,145mm",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.011,KGM,0.094,DMQ,--,HBW,--,No,--,10,--,--
S0771450,"Scissors,Metzem/Nelson,230mm,cvd,b/b",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.102,KGM,0.287,DMQ,--,HBW,--,No,--,10,--,--
S0969022,"Label,biohaz,adhesive,5x7.5cm,roll/500",Z01,No,1000,EA,No,--,SHORT_LINE,No,4.5,KGM,0.6,DMQ,--,HBW,--,No,--,--,--,--
S0969023,"Lancet,2.0 mm, disp, box/100",Z01,No,1000,BOX,No,--,SHORT_LINE,Yes,0.412,KGM,0.003,MTQ,--,HBW,--,No,--,--,--,--
S0782160,"Syringe,A-D,0.5ml,Kojak Selinge/BOX-100",Z01,Yes,1000,BOX,No,--,SHORT_LINE,No,0.6,KGM,3.84,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0782153,"Syringe,A-D,0.5ml,Medeco Inject/BOX-100",Z01,Yes,1000,BOX,No,--,SHORT_LINE,Yes,0.349,KGM,3.18,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0782157,"Syringe,A-D,0.05ml,Soloshot Mini/BOX-100",Z01,Yes,1000,BOX,No,--,SHORT_LINE,Yes,0.283,KGM,2.73,DMQ,425,HBW,MEDICAL,No,--,10,Z1,--
S0782425,"Syringe,disp,20ml,ster/BOX-100",Z01,Yes,1000,BOX,No,--,SHORT_LINE,Yes,1.356,KGM,13.885,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0782205,"Syringe,disp,2ml,ster/BOX-100",Z01,Yes,1000,BOX,No,--,SHORT_LINE,Yes,0.447,KGM,4.314,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0782203,"Syringe,disp,1ml,ster/BOX-100",Z01,Yes,1000,BOX,No,--,SHORT_LINE,Yes,0.504,KGM,4.764,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0921600,"Bottle,plastic,1L,w/screw cap",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.21,KGM,2.859,DMQ,--,HBW,--,No,--,10,--,--
S0782112,"Syringe,disp,10ml,w/ndl,21G/BOX-100",Z01,Yes,1000,BOX,No,--,SHORT_LINE,Yes,1.1,KGM,8.395,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0782213,Safety box f.used syrgs/ndls 5lt,Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.28,KGM,0.001,MTQ,--,HBW,--,No,--,10,--,--
S0782159,"Syringe,A-D,0.5ml,Helm Wuxi/BOX-200",Z01,Yes,1000,BOX,No,--,SHORT_LINE,No,0.803,KGM,0.54,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S1300004,Artesunate 50mg+SP 525mg tabs/6+2/PAC-1,Z01,Yes,1000,EA,No,--,SHORT_LINE,No,0.006,KGM,0.052,DMQ,425,HBW,PHARMACEUTICALS,No,--,--,Z1,--
S0990000,"Body bag,adult",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,25.0,KGM,0.07,MTQ,--,HBW,--,No,--,10,--,--
S0782413,"Syringe,disp,10ml,ster/BOX-100",Z01,Yes,1000,BOX,No,--,SHORT_LINE,Yes,1.016,KGM,9.757,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0983400,"Timer,60 min",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.091,KGM,0.458,DMQ,--,HBW,--,No,--,10,--,--
S0919305,"Bottle,plastic,250ml,wash bottle",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.102,KGM,1.201,DMQ,--,HBW,--,No,--,10,--,--
S1300049,Primaquine base 7.5mg tabs/PAC-1000,Z01,Yes,1000,PAC,No,--,SHORT_LINE,No,0.13,KGM,0.24,DMQ,425,HBW,PHARMACEUTICALS,No,--,--,Z1,--
S0845000,"Resuscitator,hand-oper.,infant/child,set",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,1.144,KGM,8.911,DMQ,--,HBW,--,No,--,10,--,--
S0791500,"Vacuum extractor,Bird,manual,comple.set",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,3.799,KGM,50.611,DMQ,--,HBW,--,No,--,10,--,--
S0305139,"Gown,isol,nonwoven,ligt,ISO16604,disp,XL",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.088,KGM,0.001,MTQ,425,HBW,MEDICAL,No,--,--,--,--
S1300056,Arte200mg+Meflo250mg tabs/3+6/PAC-1,Z01,Yes,1000,PAC,No,--,SHORT_LINE,No,0.016,KGM,0.09,DMQ,425,HBW,PHARMACEUTICALS,No,--,--,Z1,--
S0305141,"Gown,isolation,nonwoven,disp,univ size",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,2.665,KGM,0.019,MTQ,425,HBW,MEDICAL,No,--,--,--,--
S0782405,"Syringe,disp,5ml,ster/BOX-100",Z01,Yes,1000,BOX,No,--,SHORT_LINE,Yes,0.685,KGM,6.69,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0789999,Yellow Fever Vaccination Card/PAC-200,Z01,No,1000,PAC,No,--,SHORT_LINE,Yes,0.516,KGM,1.117,DMQ,--,HBW,--,No,--,10,--,--
S0990001,"Body bag,child",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,3.608,KGM,0.119,MTQ,--,HBW,--,No,--,10,--,--
S1564336,Potassium Chl 10% inj 10ml amp/BOX-10,Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.17,KGM,0.8,DMQ,425,HBW,PHARMACEUTICALS,No,--,10,Z1,--
S1564338,SodiumChloride 0.9% inj 10ml amp/BOX-100,Z01,Yes,1000,EA,No,--,SHORT_LINE,No,1.485,KGM,3.7,DMQ,425,HBW,PHARMACEUTICALS,No,--,10,Z1,--
S0481056,"Thermometer, clinical, digital, no Li",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.043,KGM,0.25,DMQ,425,HBW,MEDICAL,No,--,--,--,9000
S1552428,Warfarin sodium 3mg tabs/PAC-2x14,Z01,Yes,1000,PAC,No,--,SHORT_LINE,No,0.019,KGM,0.16,DMQ,425,HBW,PHARMACEUTICALS,No,--,--,Z1,--
S8501040,"Thermal Transfer Ribbon,110mmx360m",Z04,No,1000,EA,No,--,SHORT_LINE,Yes,0.5,KGM,0.952,DMQ,--,HBW,--,Yes,--,--,--,--
S1552429,Warfarin sodium 1mg tabs/PAC-2x14,Z01,Yes,1000,PAC,No,--,SHORT_LINE,No,0.018,KGM,0.16,DMQ,425,HBW,PHARMACEUTICALS,No,--,--,Z1,--
S1552430,Amlodipine 10mg tabs/PAC-10x10,Z01,Yes,1000,PAC,No,--,SHORT_LINE,No,0.076,KGM,0.402,DMQ,425,HBW,PHARMACEUTICALS,No,--,--,Z1,--
