Material Number,Description,Article Type,Batch Managed,Plant,Unit of Measure,Multi-Part,Kit parrent,KIT Routing,Full Pallet Qty,Weight,Weight UOM,Volume,Volume UOM,Shelf life allowed,Storage Strategy,Batch Class,Packing Material,Packing material Volume,Less Than Count Percentage,Temperature cond.,Hazardous Material Number
S1504014,Metoclopramide inj 5mg/ml 2ml amp/BOX-10,Z01,Yes,1000,BOX,No,--,SHORT_LINE,Yes,0.072,KGM,0.386,DMQ,425,HBW,PHARMACEUTICALS,No,--,10,Z1,--
S9999700,Household Protection Kit for 1 Family,Z02,Yes,1000,EA,No,--,SHORT_LINE,No,5.0,KGM,0.021,MTQ,425,HBW,MEDICAL,No,--,--,--,--
S6780315,"Coverall,protection,CatIII,type6B,XL",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,326.0,GRM,2.015,DMQ,--,HBW,--,No,--,--,--,--
S6780252,"Gloves,exam,nitrile,non-ster,M,BOX-100",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,523.0,GRM,3.034,DMQ,--,HBW,--,No,--,--,--,--
S5006271,Reusable Menstrual Set,Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.113,KGM,0.962,DMQ,--,HBW,--,No,--,--,--,--
S5006275,Child potty,Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.248,KGM,3.015,DMQ,--,HBW,--,No,--,--,--,--
S6780258,"Boots,rubber/PVC,reusable,pair,size44",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,2348.0,GRM,11.889,DMQ,--,HBW,--,No,--,--,--,--
S6780257,"Boots,rubber/PVC,reusable,pair,size42",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,2245.0,GRM,13.353,DMQ,--,HBW,--,No,--,--,--,--
S6780265,"Faceshield,fog-resistant,fullface-length",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,688.0,GRM,13.863,DMQ,--,HBW,--,No,--,--,--,--
S6780263,"Gloves,heavy-duty,rubber/nitrile,pair,S",Z01,No,1000,EA,No,--,SHORT_LINE,No,77.0,GRM,1.4,DMQ,--,HBW,--,No,--,--,--,--
S6780262,"Boots,rubber/PVC,reusable,pair,size43",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,2253.0,GRM,11.531,DMQ,--,HBW,--,No,--,--,--,--
S6780264,"Gloves,heavy-duty,rubber/nitrile,pair,L",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,87.0,GRM,0.319,DMQ,--,HBW,--,No,--,--,--,--
S6780245,"Mask, surgical, typeIIR, disp.",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,5.0,GRM,0.048,DMQ,--,HBW,--,No,--,--,--,--
S6780248,"Gloves,Household Cleaning,reusable,M/L",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,75.0,GRM,0.242,DMQ,--,HBW,--,No,--,--,--,--
S6780249,"NaDCC,Chlorine Granules 56%, 1/2kg",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.649,KGM,2.057,DMQ,425,HBW,PHARMACEUTICALS,No,--,--,--,3077
S6780305,"Bootcover,anti-skid,elasticated",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,53.0,GRM,0.404,DMQ,--,HBW,--,No,--,--,--,--
S1550010,Iron 60mg tablets/PAC-100,Z01,Yes,1000,PAC,No,--,SHORT_LINE,Yes,0.103,KGM,0.37,DMQ,425,HBW,PHARMACEUTICALS,No,--,10,Z1,--
S6780251,"Gloves,exam,nitrile,non-ster,S,BOX-100",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,506.0,GRM,3.137,DMQ,--,HBW,--,No,--,--,--,--
S6780253,"Gloves,exam,nitrile,non-ster,L,BOX-100",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,581.0,GRM,3.541,DMQ,--,HBW,--,No,--,--,--,--
S6780244,"Gown,surgical,nonwoven,disp",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,268.0,GRM,2.773,DMQ,--,HBW,--,No,--,--,--,--
S6780246,"BAG,Refuse,plastic,70my,RED,100lt,roll10",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.1,KGM,0.432,DMQ,--,HBW,--,No,--,--,--,--
S6780247,"Bucket,HDPE,with lid,20 litres",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.66,KGM,8.5,DMQ,--,HBW,--,No,--,--,--,--
S6780311,"Coverall,protection,CatIII,type6B,L",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,328.0,GRM,2.157,DMQ,--,HBW,--,No,--,--,--,--
S6780278,"Tape,duct,heavy,5cmx10m,roll",Z01,No,1000,EA,No,--,SHORT_LINE,No,630.0,GRM,1.528,DMQ,--,HBW,--,No,--,--,--,--
S6780274,"Coverall,protection,CatIII,type4,XL",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,339.0,GRM,2.184,DMQ,--,HBW,--,No,--,--,--,--
S6780283,"Tunic,surgical,woven,sizeM",Z01,No,1000,EA,No,--,SHORT_LINE,No,390.0,GRM,2.064,DMQ,--,HBW,--,No,--,--,--,--
S6780276,"Cap,surgical,non-woven,disp,box/100",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,652.0,GRM,7.957,DMQ,--,HBW,--,No,--,--,--,--
S6780282,"Tunic,surgical,woven,sizeL",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,203.0,GRM,0.798,DMQ,--,HBW,--,No,--,--,--,--
S9935087,"Syria SEDL Suppl. 1 kit,  2014",Z02,Yes,1000,EA,Yes,--,VIRTUAL_PACKING,No,316.5,KGM,1.544,MTQ,425,HBW,PHARMACEUTICALS,No,--,--,Z1,--
S9935086,"Syria SEDL Basic kit, 2014",Z02,Yes,1000,EA,Yes,--,VIRTUAL_PACKING,No,528.0,KGM,2.916,MTQ,425,HBW,PHARMACEUTICALS,No,--,--,Z1,1950
S1555682,"Meglumine antimoniate 1,5g/5ml amp/BOX-5",Z01,Yes,1000,BOX,No,--,SHORT_LINE,Yes,0.069,KGM,0.286,DMQ,425,HBW,PHARMACEUTICALS,No,--,--,Z1,--
S0845213,"Oxygen concentrator, 10 LPM, up to 1500m",Z01,Yes,1000,EA,No,--,SHORT_LINE,No,21.0,KGM,112,DMQ,425,HBW,MEDICAL,No,--,--,--,--
S0845052,"FilterSet,Canta 8LPM oxygen concentrator",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.405,KGM,6.194,DMQ,--,HBW,--,No,--,--,--,--
S9986716,PP 1/3 F Sub 1/3 Yemen PHK S9906800,Z02,Yes,1000,EA,No,--,MINILOAD,No,4.0,KGM,22,DMQ,425,HBW,PHARMACEUTICALS,No,--,--,Z1,--
S6780259,"Gloves,heavy-duty,rubber/nitrile,pair,M",Z01,No,1000,EA,No,--,SHORT_LINE,No,77.0,GRM,1.4,DMQ,--,HBW,--,No,--,--,--,--
S6780260,"Bag,biohazard,50L",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,44.0,GRM,0.144,DMQ,--,HBW,--,No,--,--,--,--
S6780261,"Spray,anti-fog,goggles,bott/50ml",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,75.0,GRM,0.288,DMQ,--,HBW,--,No,--,--,--,--
S6780266,"Goggles,protective,indirect-side-ventil",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,51.0,GRM,0.441,DMQ,--,HBW,--,No,--,--,--,--
S1300100,Amodiaquine 135mg+Arte 50mg tab/3/PAC-1,Z01,Yes,1000,PAC,No,--,SHORT_LINE,No,0.02,KGM,0.077,DMQ,425,HBW,PHARMACEUTICALS,No,--,--,Z1,--
S6780286,"Cot,medical,IV-pole,basic",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,28.728,KGM,259.226,DMQ,--,HBW,--,No,--,--,--,--
S6780280,"Trousers,surgical,woven,sizeM",Z01,No,1000,EA,No,--,SHORT_LINE,No,434.0,GRM,2.257,DMQ,--,HBW,--,No,--,--,--,--
S6780279,"Trousers,surgical,woven,sizeL 12.56",Z01,No,1000,EA,No,--,SHORT_LINE,No,237.0,GRM,0.903,DMQ,--,HBW,--,No,--,--,--,--
S6780281,"Trousers,surgical,woven,sizeXL",Z01,No,1000,EA,No,--,SHORT_LINE,No,317.0,GRM,1.875,DMQ,--,HBW,--,No,--,--,--,--
S1551961,Gentamicin inj 10mg/ml 2ml amp/BOX-50,Z01,Yes,1000,BOX,No,--,SHORT_LINE,Yes,0.33,KGM,1.819,DMQ,425,HBW,PHARMACEUTICALS,No,--,10,Z1,--
S6780287,"Hood,protection,CatIII",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,48.0,GRM,0.349,DMQ,--,HBW,--,No,--,--,--,--
S6780314,"Coverall,protection,CatIII,type6B,M",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,296.0,GRM,2.017,DMQ,--,HBW,--,No,--,--,--,--
S6780238,"Coverall,protection,CatIII,type3/4/5,L",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,328.0,GRM,3.291,DMQ,--,HBW,--,No,--,--,--,--
S6780239,"Coverall,protection,CatIII,type3/4/5,XXL",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,328.0,GRM,3.291,DMQ,--,HBW,--,No,--,--,--,--
S0990002,"Body bag,infection control,adult",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,2.004,KGM,9.342,DMQ,--,HBW,--,No,--,--,--,--
S0990003,"Body bag,infection control,child",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,1.345,KGM,5.853,DMQ,--,HBW,--,No,--,--,--,--
S1550030,Iron 60mg + Folic ac. 400mcg tab/PAC-100,Z01,Yes,1000,PAC,No,--,SHORT_LINE,Yes,0.073,KGM,0.261,DMQ,425,HBW,PHARMACEUTICALS,No,--,10,Z1,--
S6780299,"Gown,surgical,woven",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,450.0,GRM,1.3,DMQ,--,HBW,--,No,--,--,--,--
S1300109,Amod 270mg+Arte100mg tabs/3/PAC-1,Z01,Yes,1000,PAC,No,--,SHORT_LINE,No,0.02,KGM,0.137,DMQ,425,HBW,PHARMACEUTICALS,No,--,--,Z1,--
S6780298,"Pulse oximeter,spot-check",Z01,No,1000,EA,No,--,SHORT_LINE,No,1.0,KGM,1.3,DMQ,--,HBW,--,No,--,--,--,--
S6780254,"Gloves,exam,nitrile,non-ster,S,BOX-200",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.731,KGM,3.556,DMQ,--,HBW,--,No,--,--,--,--
